facility_name,x,y,address
T's Lounge & Restaurant,-79.866691202,40.404926833,7526 Center Street PA 15218
PNC Park / 02.30.01 Ball Park Burghers #120,-80.0059815,40.446981,115 Federal Street PA 15212
PNC Park / 02.33.01 Faves at Home / Cookies & Creamery #119 ,-80.0059815,40.446981,115 Federal Street PA 15212
PNC Park / 05.415.01 Federal Street Grille #314,-80.0059815,40.446981,115 Federal Street PA 15212
Chef Chen ,-79.7885325,40.477248,7211 Saltsburg Road PA 15235
Allegheny Country Rifle Club,-79.991478,40.49928,99 Schuetzen Park Road PA 15209
DeLuca's Restaurant,-79.983756,40.451544,2015 Penn Avenue PA 15222
Bruegger's Bagel Bakery,-80.0232525,40.333293,5213 Library  Road PA 15102
Monte Cello's,-79.9455555,40.511484,880 Butler Street PA 15223
Rustic Lantern,-79.947162,40.502808,623 Butler Street PA 15223
Manor Theatre,-79.92279,40.437171,1729 Murray Avenue PA 15217
Starbucks Coffee  #776,-80.009631,40.529925,4885 McKnight Road PA 15237
Legion Memorial Assoc,-79.823547,40.354578,2813  Capital St PA 15131
Boomerang Bar,-79.89012,40.421052,1928 Monongahela Avenue PA 15218
Kentucky Fried Chicken #53,-79.9908975,40.404942,1100 Brownsville Rd PA 15210
The River's Edge,-79.998606,40.437999,301 Grant Street PA 15219
Sugar & Spice Old Fashioned Ice Cream,-79.972362,40.344174,5200 Clairton  Boulevard PA 15236
Anthony Jr's Pizzeria & Restaurant / Janie's Ice Cream,-80.163396,40.51701,1024 5th  Avenue PA 15108
Angie's Restaurant & Catering,-79.8034095,40.395312,111 Middle Ave PA 15148
Christy's Market,-79.9373205,40.503627,555 Foundry Street PA 15215
Real Luck Cafe,-79.9881165,40.448628,1519 Penn Avenue PA 15222
Green Oaks Country Club,-79.841331,40.486086,5741 3rd Street PA 15147
Kaelin's Farm Kitchen,-80.0884935,40.606983,2547 Brandt School Road PA 15090
Shawn Ryans Pub,-79.9765245,40.382577,2907 Brownsville  Road PA 15227
Engineers' Society Of West Pa,-79.999929,40.439115,337 4th  Avenue PA 15222
Trolley Stop Inn,-80.0302995,40.293477,6247 Library  Road PA 15102
Presbyterian SeniorCare / Willow Tree Cafe,-79.8288255,40.526235,1215 Hulton Road PA 15139
Nicky's Grant Street,-79.997535,40.437648,310 Grant Street PA 15219
Kentucky Fried Chicken #59,-80.056674,40.488435,4306 Ohio River  Boulevard PA 15202
Armstrong's Restaurant,-80.2095525,40.505832,1136 Thorn Run Road PA 15108
Jonny's Bar,-80.0076375,40.426119,205 Boggs  Avenue PA 15211
Barb's Corner Kitchen,-79.957899,40.474503,4711 Butler  Street PA 15201
Rudy Martino's Original House Of Submarines,-79.8902415,40.42125,1920 Monongahela Avenue PA 15218
American Legion Post #980,-79.7659155,40.474782,7824 Saltsburg Rd PA 15239
Sapporo Japanese Steak & Seafood,-80.090937,40.439979,4260 Steubenville Pike PA 15205
Gooski's,-79.9664445,40.456845,3117 Brereton Street PA 15219
Frisch's,-80.001792,40.358232,5301 Grove  Road PA 15236
Hilltoppers Pub,-79.9826535,40.463946,1700 Lowrie Street PA 15212
Verona Eagles FOE #1634 ,-79.8440175,40.503933,315 James Street PA 15147
Johnny's Hide-A-Way,-80.068626,40.501449,618 California Ave PA 15202
